keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'avalanche climate change',0.05787114601624159,0.9368096717085291,0.13533160417098455,0.7959401839084848,161.0
'avalanche death',0.27206270358281953,0.8682877296605405,0.16147403832860757,0.9866436842860248,50.0
'avalanche missing',-0.25982255252390746,0.8808696371540585,-0.13423665199507762,0.8688885174129414,186.0
'avalanche mountain',-0.06336187314015529,0.900940100292698,0.13139411356484157,0.8435644617864598,188.0
'avalanche protection',0.06303773097306084,0.7919425353671785,-0.12068478691073486,0.9843984825626654,161.0
'avalanche rescue',0.01935441464853791,0.8905461173911616,-0.029322611209518318,0.9065931834526152,162.0
'avalanche search',0.17372366182198537,0.9504610367652874,0.09055231723010874,0.9097463277397534,163.0
'avalanche ski',0.026108764760693456,0.9550657221121716,0.03304778483101243,0.9724062757678024,166.0
'avalanche snow',-0.04330271587402115,0.895084223492015,-0.005822836759103177,0.9873056160967107,162.0
'avalanche warning system',0.08166887702141264,0.8636443128298952,0.2718289812633894,0.8262622948670318,162.0
veryUnusualAndNeverUsedKeyword,-0.1086645713389725,0.7243012716518701,0.14142240783611515,1.1615038020350061,9.0
